±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[375.86016845703125, 438.0865783691406]","[393.1878662109375, 426.5347900390625]","[364.3083190917969, 426.5347900390625]","[410.5155944824219, 449.6383972167969]","[346.9806213378906, 443.86248779296875]","[445.1709899902344, 542.0529174804688]","[300.77337646484375, 530.5010986328125]","[474.050537109375, 634.4674072265625]","[254.5661163330078, 622.9155883789062]","[549.1372680664062, 657.5709838867188]","[167.9275360107422, 646.0192260742188]","[410.5155944824219, 732.6577758789062]","[318.1011047363281, 732.6577758789062]","[387.4119567871094, 894.3831176757812]","[323.87701416015625, 894.3831176757812]","[381.6360778808594, 1056.1083984375]","[335.4288024902344, 1050.33251953125]"
"[378.35302734375, 422.03302001953125]","[395.9559631347656, 410.2977294921875]","[366.6177673339844, 410.2977294921875]","[413.55889892578125, 427.9006652832031]","[343.1471862792969, 422.03302001953125]","[442.8971252441406, 521.782958984375]","[296.2060546875, 515.915283203125]","[478.1029968261719, 615.6652221679688]","[243.3972625732422, 603.9299926757812]","[554.38232421875, 645.0034790039062]","[161.25025939941406, 633.2681274414062]","[407.6912536621094, 715.4151000976562]","[313.8089904785156, 715.4151000976562]","[384.2206726074219, 873.8414916992188]","[325.5442810058594, 873.8414916992188]","[384.2206726074219, 1038.1353759765625]","[337.279541015625, 1032.2677001953125]"
"[377.43475341796875, 404.35406494140625]","[395.4876708984375, 392.31878662109375]","[365.39947509765625, 392.31878662109375]","[413.54058837890625, 416.38934326171875]","[341.32891845703125, 410.3717041015625]","[443.6287841796875, 506.6539611816406]","[293.18780517578125, 500.6363220214844]","[479.734619140625, 602.9362182617188]","[245.04669189453125, 590.9009399414062]","[557.9639282226562, 627.0067749023438]","[160.79971313476562, 620.9890747070312]","[407.52294921875, 705.2360229492188]","[317.25836181640625, 705.2360229492188]","[389.47003173828125, 855.6770629882812]","[329.29364013671875, 855.6770629882812]","[383.452392578125, 1012.1355590820312]","[341.32891845703125, 1000.1004028320312]"
"[379.3293151855469, 393.8151550292969]","[396.86944580078125, 387.96844482421875]","[367.6358947753906, 382.12176513671875]","[414.4095153808594, 405.5085754394531]","[344.24908447265625, 399.661865234375]","[443.64306640625, 499.05584716796875]","[297.4754333496094, 493.20916748046875]","[478.7232971191406, 592.6031494140625]","[244.8550567626953, 580.9097290039062]","[560.5772094726562, 615.9899291992188]","[157.1544952392578, 610.1432495117188]","[408.5628356933594, 697.8438110351562]","[320.8622741699219, 697.8438110351562]","[391.022705078125, 844.011474609375]","[326.7089538574219, 844.011474609375]","[385.1759948730469, 996.0257568359375]","[344.24908447265625, 984.3323974609375]"
"[378.2283630371094, 388.3634948730469]","[395.56390380859375, 382.5849609375]","[366.67132568359375, 376.80645751953125]","[412.8994445800781, 405.69903564453125]","[343.5572509765625, 394.14202880859375]","[447.570556640625, 498.1553039550781]","[297.3291320800781, 492.3768005371094]","[482.24163818359375, 590.611572265625]","[245.3224639892578, 579.0545043945312]","[568.9193725585938, 607.9471435546875]","[158.6446990966797, 602.1686401367188]","[412.8994445800781, 688.8463745117188]","[314.6646728515625, 683.0678100585938]","[389.785400390625, 839.0877075195312]","[326.2217102050781, 833.3092651367188]","[384.0068664550781, 1000.8861694335938]","[343.5572509765625, 983.5505981445312]"
"[379.7735595703125, 392.2392883300781]","[391.74273681640625, 380.27008056640625]","[367.80438232421875, 380.27008056640625]","[409.69659423828125, 398.223876953125]","[343.865966796875, 392.2392883300781]","[445.60418701171875, 499.96209716796875]","[295.98919677734375, 487.992919921875]","[481.51177978515625, 589.7311401367188]","[248.11233520507812, 577.7619018554688]","[565.2962036132812, 601.7003173828125]","[158.34332275390625, 595.7157592773438]","[409.69659423828125, 685.4847412109375]","[313.9429931640625, 685.4847412109375]","[391.74273681640625, 841.0843505859375]","[325.91217041015625, 841.0843505859375]","[385.7581787109375, 1002.66845703125]","[337.88140869140625, 990.6993408203125]"
"[375.5860900878906, 393.0325012207031]","[393.3726501464844, 387.1036376953125]","[363.7283935546875, 381.1748046875]","[411.1591796875, 404.89019775390625]","[345.9418029785156, 398.96136474609375]","[446.7323303222656, 499.75189208984375]","[298.510986328125, 493.8230285644531]","[482.30548095703125, 594.613525390625]","[245.15126037597656, 582.755859375]","[565.3095092773438, 606.4712524414062]","[156.2184600830078, 600.5424194335938]","[411.1591796875, 689.4752197265625]","[316.29754638671875, 689.4752197265625]","[393.3726501464844, 849.5542602539062]","[334.0841064453125, 843.6254272460938]","[387.44378662109375, 1021.4910278320312]","[340.012939453125, 1003.7044677734375]"
"[378.62054443359375, 403.655517578125]","[390.64166259765625, 391.63433837890625]","[366.599365234375, 391.63433837890625]","[414.68408203125, 409.6661071777344]","[342.5570068359375, 403.655517578125]","[444.73699951171875, 505.83551025390625]","[294.4722900390625, 499.8249206542969]","[480.800537109375, 602.0049438476562]","[246.3875732421875, 595.9943237304688]","[558.9381713867188, 614.0260620117188]","[156.22874450683594, 602.0049438476562]","[414.68408203125, 698.17431640625]","[318.5146484375, 698.17431640625]","[390.64166259765625, 854.4495849609375]","[330.53582763671875, 854.4495849609375]","[384.631103515625, 1034.76708984375]","[342.5570068359375, 1016.7354125976562]"
"[374.8691711425781, 421.09356689453125]","[393.2327880859375, 408.8511962890625]","[362.6268005371094, 408.8511962890625]","[411.5963439941406, 427.21478271484375]","[344.2632141113281, 421.09356689453125]","[442.2023010253906, 525.1538696289062]","[295.293701171875, 512.9114379882812]","[478.929443359375, 616.9717407226562]","[246.32411193847656, 610.8505249023438]","[552.3837280273438, 629.2141723632812]","[160.62741088867188, 616.9717407226562]","[411.5963439941406, 714.9108276367188]","[319.7784423828125, 714.9108276367188]","[393.2327880859375, 874.0618286132812]","[332.0208435058594, 874.0618286132812]","[387.111572265625, 1045.455078125]","[338.14202880859375, 1039.333984375]"
"[377.01104736328125, 437.04296875]","[388.9019470214844, 431.0975341796875]","[359.1746520996094, 425.15203857421875]","[412.6838073730469, 448.93389892578125]","[341.3382873535156, 442.9884338378906]","[448.3565368652344, 544.061279296875]","[293.77459716796875, 538.1157836914062]","[478.0838928222656, 633.2431640625]","[252.15635681152344, 633.2431640625]","[555.3748168945312, 645.1340942382812]","[162.97447204589844, 627.2976684570312]","[412.6838073730469, 740.2614135742188]","[323.5019226074219, 746.2069091796875]","[394.847412109375, 894.8434448242188]","[335.392822265625, 900.7888793945312]","[388.9019470214844, 1061.3162841796875]","[335.392822265625, 1055.3707275390625]"
