±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[371.6473693847656, 406.7289733886719]","[391.3011169433594, 393.6264953613281]","[358.54486083984375, 393.6264953613281]","[410.95489501953125, 413.28021240234375]","[332.33990478515625, 413.28021240234375]","[450.2623596191406, 518.1002197265625]","[293.03240966796875, 511.5489501953125]","[555.0823364257812, 570.5101928710938]","[220.9686737060547, 577.0614013671875]","[640.24853515625, 577.0614013671875]","[129.25119018554688, 583.6126708984375]","[417.506103515625, 747.3938598632812]","[319.2373962402344, 747.3938598632812]","[417.506103515625, 937.3800048828125]","[312.6861572265625, 930.8287963867188]","[397.8523864746094, 1101.1611328125]","[325.78863525390625, 1107.71240234375]"
"[377.82794189453125, 410.89544677734375]","[390.6748046875, 398.048583984375]","[358.55767822265625, 391.6251525878906]","[409.945068359375, 417.31884765625]","[332.8639831542969, 410.89544677734375]","[448.485595703125, 520.0936279296875]","[287.9000244140625, 513.6702270507812]","[544.8369750976562, 577.9044799804688]","[223.66575622558594, 584.327880859375]","[634.764892578125, 597.1747436523438]","[140.16123962402344, 603.59814453125]","[416.36846923828125, 751.3368530273438]","[320.0171203613281, 744.9134521484375]","[422.7919006347656, 937.6161499023438]","[320.0171203613281, 931.1928100585938]","[397.09820556640625, 1098.20166015625]","[326.4405517578125, 1104.6251220703125]"
"[378.0384521484375, 413.5813293457031]","[390.8455810546875, 400.7742614746094]","[358.82781982421875, 400.7742614746094]","[410.05615234375, 419.98486328125]","[333.213623046875, 419.98486328125]","[448.4774169921875, 528.8451538085938]","[294.7923583984375, 522.4415893554688]","[531.7235107421875, 592.8805541992188]","[230.75692749023438, 592.8805541992188]","[627.776611328125, 618.4947509765625]","[147.5108642578125, 624.8982543945312]","[416.459716796875, 759.3726806640625]","[320.40655517578125, 759.3726806640625]","[429.26678466796875, 938.671875]","[320.40655517578125, 938.671875]","[397.24908447265625, 1098.76025390625]","[326.81011962890625, 1105.1639404296875]"
"[383.9635925292969, 420.8643798828125]","[396.662841796875, 408.16510009765625]","[364.9147033691406, 408.16510009765625]","[415.7117614746094, 427.2140197753906]","[333.16650390625, 427.2140197753906]","[447.4599304199219, 541.5074462890625]","[295.0686950683594, 528.8081665039062]","[530.0051879882812, 611.3534545898438]","[231.5723419189453, 605.0037841796875]","[625.2496948242188, 649.4512329101562]","[149.02708435058594, 643.1016235351562]","[422.0613708496094, 763.7446899414062]","[320.4672546386719, 763.7446899414062]","[434.7606506347656, 941.534423828125]","[314.11761474609375, 935.184814453125]","[396.662841796875, 1100.275146484375]","[326.8168640136719, 1106.624755859375]"
"[383.7916564941406, 433.1265563964844]","[396.4027404785156, 420.51544189453125]","[364.875, 420.51544189453125]","[415.3193359375, 439.4320983886719]","[339.65283203125, 439.4320983886719]","[446.8470764160156, 546.6264038085938]","[295.5140075683594, 540.3208618164062]","[528.8191528320312, 622.2929077148438]","[232.4585723876953, 622.2929077148438]","[623.4022827148438, 666.4317016601562]","[150.48648071289062, 660.1261596679688]","[421.6249084472656, 773.6259155273438]","[320.7361755371094, 773.6259155273438]","[440.54156494140625, 937.5701293945312]","[308.1250915527344, 943.8756713867188]","[396.4027404785156, 1101.51416015625]","[327.0417175292969, 1101.51416015625]"
"[383.4854431152344, 443.6551513671875]","[395.9394836425781, 431.2010498046875]","[364.8043518066406, 431.2010498046875]","[414.62060546875, 449.88214111328125]","[339.8962097167969, 449.88214111328125]","[451.9827575683594, 561.9686889648438]","[296.3070068359375, 549.5147094726562]","[526.7070922851562, 636.6930541992188]","[234.0366668701172, 636.6930541992188]","[620.1126098632812, 686.5093383789062]","[153.0852508544922, 674.0552368164062]","[420.84759521484375, 786.1417846679688]","[321.2151184082031, 779.9148559570312]","[451.9827575683594, 948.0446166992188]","[308.76104736328125, 954.2716674804688]","[395.9394836425781, 1097.4932861328125]","[327.4421691894531, 1103.7203369140625]"
"[384.51544189453125, 450.9732360839844]","[396.8603515625, 438.6282958984375]","[365.998046875, 438.6282958984375]","[415.37774658203125, 457.14569091796875]","[335.1357421875, 457.14569091796875]","[452.4125061035156, 568.2499389648438]","[298.10101318359375, 555.9050903320312]","[520.3095703125, 648.491943359375]","[236.3763885498047, 642.3195190429688]","[619.06884765625, 697.8716430664062]","[156.13441467285156, 685.5266723632812]","[421.5502014160156, 790.45849609375]","[322.79083251953125, 790.45849609375]","[458.5849304199219, 950.9424438476562]","[310.4458923339844, 963.2874145507812]","[403.0328063964844, 1099.0814208984375]","[322.79083251953125, 1105.2537841796875]"
"[383.2538146972656, 445.45159912109375]","[395.589111328125, 433.1163330078125]","[364.7508850097656, 433.1163330078125]","[414.092041015625, 457.78692626953125]","[333.91265869140625, 457.78692626953125]","[451.09783935546875, 562.6367797851562]","[296.9068298339844, 556.4691772460938]","[518.9419555664062, 655.1514282226562]","[241.3980255126953, 642.816162109375]","[611.45654296875, 710.6602172851562]","[161.21868896484375, 692.1572875976562]","[420.2596740722656, 797.0071411132812]","[321.577392578125, 790.8395385742188]","[463.43316650390625, 963.5335083007812]","[315.4097595214844, 969.7012329101562]","[401.7567443847656, 1105.38916015625]","[321.577392578125, 1111.5567626953125]"
"[380.05181884765625, 432.79681396484375]","[392.7626037597656, 420.08599853515625]","[360.98565673828125, 420.08599853515625]","[418.1841735839844, 439.1521911621094]","[335.5640563964844, 439.1521911621094]","[449.961181640625, 553.5493774414062]","[297.4316711425781, 540.8385620117188]","[513.51513671875, 648.8803100585938]","[246.58848571777344, 636.1694946289062]","[602.4906616210938, 712.4342651367188]","[170.32374572753906, 693.3680419921875]","[424.53961181640625, 775.9882202148438]","[322.8532409667969, 775.9882202148438]","[456.31658935546875, 947.5839233398438]","[316.49786376953125, 960.2947387695312]","[405.473388671875, 1100.11328125]","[322.8532409667969, 1106.46875]"
"[381.67742919921875, 406.56439208984375]","[394.6847229003906, 400.0607604980469]","[362.1665954589844, 393.55712890625]","[414.195556640625, 413.0679931640625]","[336.152099609375, 413.0679931640625]","[453.21728515625, 530.1332397460938]","[297.13037109375, 523.6295776367188]","[511.7498779296875, 634.1911010742188]","[245.1013946533203, 614.6802368164062]","[576.7860717773438, 705.73095703125]","[173.56158447265625, 679.7164916992188]","[427.2027893066406, 770.7672119140625]","[323.1448669433594, 764.2635498046875]","[446.71368408203125, 939.861328125]","[323.1448669433594, 939.861328125]","[407.69195556640625, 1102.45166015625]","[323.1448669433594, 1102.45166015625]"
