±Ç×Ó,ÓÒÑÛ,×óÑÛ,ÓÒ¶ú,×ó¶ú,ÓÒ¼ç,×ó¼ç,ÓÒÖâ,×óÖâ,ÓÒÊÖ,×óÊÖ,ÓÒ¿è,×ó¿è,ÓÒÏ¥¸Ç,×óÏ¥¸Ç,ÓÒ½Åõ×,×ó½Åõ×
"[345.22174072265625, 374.9547119140625]","[364.88983154296875, 361.8426513671875]","[351.77777099609375, 361.8426513671875]","[410.78204345703125, 368.398681640625]","[364.88983154296875, 388.0667724609375]","[482.8983154296875, 460.1830749511719]","[345.22174072265625, 466.7391052246094]","[535.3464965820312, 565.0795288085938]","[305.88555908203125, 565.0795288085938]","[607.4628295898438, 637.1958618164062]","[220.6571807861328, 610.9717407226562]","[443.5621337890625, 683.0880126953125]","[351.77777099609375, 676.5320434570312]","[423.89410400390625, 860.1007690429688]","[351.77777099609375, 846.9887084960938]","[404.2259521484375, 1056.781494140625]","[351.77777099609375, 1037.1134033203125]"
"[346.6956787109375, 376.3342590332031]","[359.9523010253906, 363.07763671875]","[353.3240051269531, 363.07763671875]","[406.3504333496094, 363.07763671875]","[373.2088928222656, 376.3342590332031]","[485.8900146484375, 455.8739013671875]","[340.0673828125, 462.502197265625]","[538.9164428710938, 568.5549926757812]","[306.9259033203125, 561.9266967773438]","[611.8278198242188, 634.8380126953125]","[220.75794982910156, 601.6964721679688]","[446.1202087402344, 681.2361450195312]","[353.3240051269531, 674.6078491210938]","[419.6070251464844, 860.2002563476562]","[353.3240051269531, 846.9436645507812]","[393.0937805175781, 1052.4207763671875]","[346.6956787109375, 1039.164306640625]"
"[343.06719970703125, 373.31591796875]","[356.27557373046875, 360.1075439453125]","[349.67138671875, 360.1075439453125]","[402.5048828125, 360.1075439453125]","[369.48394775390625, 379.92010498046875]","[481.75518798828125, 459.17041015625]","[336.4630126953125, 459.17041015625]","[534.5886840820312, 564.83740234375]","[310.0462646484375, 564.83740234375]","[613.8389892578125, 624.2750854492188]","[224.19180297851562, 591.254150390625]","[442.13006591796875, 677.108642578125]","[349.67138671875, 670.5044555664062]","[415.71331787109375, 862.0259399414062]","[349.67138671875, 842.21337890625]","[389.29656982421875, 1053.5472412109375]","[349.67138671875, 1040.3389892578125]"
"[345.541015625, 377.58697509765625]","[358.57757568359375, 364.55035400390625]","[339.022705078125, 371.06866455078125]","[404.20562744140625, 364.55035400390625]","[384.6507568359375, 371.06866455078125]","[482.42510986328125, 462.32476806640625]","[339.022705078125, 468.843017578125]","[528.0531005859375, 560.0990600585938]","[306.4312744140625, 566.6173706054688]","[619.3091430664062, 612.2454223632812]","[215.17520141601562, 579.6539916992188]","[443.31536865234375, 683.9465942382812]","[345.541015625, 677.4283447265625]","[417.2421875, 866.458740234375]","[352.059326171875, 846.9038696289062]","[391.1690673828125, 1048.970703125]","[352.059326171875, 1048.970703125]"
"[342.81329345703125, 389.123779296875]","[361.6492614746094, 376.56646728515625]","[342.81329345703125, 376.56646728515625]","[411.8785095214844, 376.56646728515625]","[399.3211975097656, 364.0091552734375]","[480.9436950683594, 477.0249328613281]","[336.5346374511719, 477.0249328613281]","[531.1729736328125, 571.2047729492188]","[298.8627014160156, 577.4834594726562]","[625.3528442382812, 608.876708984375]","[210.9615020751953, 577.4834594726562]","[443.27178955078125, 696.7778930664062]","[349.0919494628906, 690.4992065429688]","[418.15716552734375, 872.5802612304688]","[349.0919494628906, 860.0228881835938]","[386.76385498046875, 1060.9398193359375]","[349.0919494628906, 1060.9398193359375]"
"[346.5472412109375, 399.4771423339844]","[365.103759765625, 387.10614013671875]","[346.5472412109375, 393.2916259765625]","[420.773193359375, 393.2916259765625]","[358.91827392578125, 411.84814453125]","[482.628173828125, 492.2596130371094]","[334.17626953125, 492.2596130371094]","[538.297607421875, 585.0420532226562]","[284.69232177734375, 585.0420532226562]","[631.0800170898438, 603.5985107421875]","[210.46632385253906, 578.8565063476562]","[439.3297119140625, 708.751953125]","[340.36175537109375, 702.5664672851562]","[414.58770751953125, 881.9458618164062]","[346.5472412109375, 869.5747680664062]","[389.845703125, 1067.5106201171875]","[340.36175537109375, 1061.3251953125]"
"[357.459716796875, 409.551513671875]","[375.73480224609375, 397.3681335449219]","[351.3680419921875, 397.3681335449219]","[424.46832275390625, 403.4598388671875]","[357.459716796875, 415.6432189941406]","[479.2935791015625, 507.01861572265625]","[333.09295654296875, 500.9269104003906]","[540.2105102539062, 598.3939819335938]","[278.2677001953125, 592.3023071289062]","[631.5858764648438, 604.4856567382812]","[205.1674041748047, 586.2106323242188]","[430.5600280761719, 720.2278442382812]","[339.18463134765625, 714.1361694335938]","[418.3766174316406, 896.8869018554688]","[345.2763366699219, 878.6118774414062]","[387.9181823730469, 1067.4541015625]","[333.09295654296875, 1085.729248046875]"
"[370.910888671875, 411.7718200683594]","[390.55755615234375, 398.6740417480469]","[364.36199951171875, 398.6740417480469]","[436.3997497558594, 411.7718200683594]","[357.8131103515625, 418.3207092285156]","[475.69305419921875, 510.0051574707031]","[331.6175537109375, 503.4562683105469]","[541.1820068359375, 601.6895751953125]","[266.1286926269531, 595.1406860351562]","[632.8663940429688, 614.787353515625]","[194.0908966064453, 595.1406860351562]","[429.85089111328125, 732.6672973632812]","[338.16644287109375, 726.1184692382812]","[416.7530822753906, 916.0361938476562]","[338.16644287109375, 896.3895263671875]","[384.0086364746094, 1066.6605224609375]","[331.6175537109375, 1092.85595703125]"
"[378.73846435546875, 402.079833984375]","[397.38348388671875, 389.6498107910156]","[366.30841064453125, 389.6498107910156]","[434.673583984375, 402.079833984375]","[353.87841796875, 408.29486083984375]","[478.17864990234375, 501.52008056640625]","[329.018310546875, 495.3050537109375]","[540.3287963867188, 594.7453002929688]","[266.8681640625, 588.5302734375]","[627.3390502929688, 619.6053466796875]","[198.50302124023438, 600.9603271484375]","[428.45855712890625, 725.2606201171875]","[335.23333740234375, 719.0455932617188]","[409.81353759765625, 899.281005859375]","[329.018310546875, 886.8509521484375]","[384.9534912109375, 1067.0863037109375]","[322.8033447265625, 1079.516357421875]"
"[386.2351989746094, 392.7943115234375]","[398.8051452636719, 373.9394836425781]","[373.6653137207031, 380.22442626953125]","[436.5148010253906, 392.7943115234375]","[354.81048583984375, 392.7943115234375]","[474.2245178222656, 493.353515625]","[323.3857116699219, 487.068603515625]","[537.0740356445312, 593.9127197265625]","[273.10614013671875, 581.3428344726562]","[618.7783813476562, 625.3374633789062]","[191.4017791748047, 606.4826049804688]","[430.2298889160156, 719.6116943359375]","[335.95562744140625, 713.3267211914062]","[405.0900573730469, 895.59033203125]","[329.6706848144531, 883.0203857421875]","[379.9502868652344, 1071.56884765625]","[329.6706848144531, 1065.2838134765625]"
