left,right
"tensor([511.3255, 656.6544])","tensor([561.5130, 656.6544])"
"tensor([511.3626, 656.6544])","tensor([561.5501, 656.6544])"
"tensor([511.3551, 656.6544])","tensor([561.5425, 656.6544])"
"tensor([516.9826, 661.6731])","tensor([557.1326, 656.6544])"
"tensor([513.5845, 671.7106])","tensor([553.7344, 666.6918])"
"tensor([512.7004, 676.7294])","tensor([552.8504, 676.7294])"
"tensor([512.7797, 676.7294])","tensor([552.9297, 676.7294])"
"tensor([515.9531, 681.7481])","tensor([551.0843, 681.7481])"
"tensor([515.9448, 681.7481])","tensor([556.0947, 681.7481])"
"tensor([515.8978, 681.7481])","tensor([556.0477, 681.7481])"
"tensor([515.9006, 681.7481])","tensor([556.0506, 681.7481])"
"tensor([509.2801, 666.6918])","tensor([554.4488, 661.6731])"
"tensor([509.2372, 666.6918])","tensor([554.4059, 661.6731])"
"tensor([511.0109, 656.6544])","tensor([556.1796, 656.6544])"
"tensor([510.9982, 651.6356])","tensor([556.1669, 656.6544])"
"tensor([515.8469, 666.6918])","tensor([555.9969, 661.6731])"
"tensor([515.6978, 666.6918])","tensor([555.8477, 661.6731])"
"tensor([517.6222, 681.7481])","tensor([557.7722, 681.7481])"
"tensor([516.2469, 686.7668])","tensor([551.3782, 681.7481])"
"tensor([516.2925, 681.7481])","tensor([556.4426, 681.7481])"
"tensor([515.9771, 676.7294])","tensor([556.1271, 681.7481])"
"tensor([515.9612, 676.7294])","tensor([556.1111, 681.7481])"
"tensor([510.1412, 671.7106])","tensor([560.3287, 666.6918])"
"tensor([510.4676, 656.6544])","tensor([560.6551, 651.6356])"
"tensor([510.5079, 656.6544])","tensor([560.6954, 651.6356])"
"tensor([513.4089, 656.6544])","tensor([558.5776, 656.6544])"
"tensor([513.4056, 656.6544])","tensor([558.5743, 656.6544])"
"tensor([513.4028, 656.6544])","tensor([558.5715, 656.6544])"
"tensor([513.1812, 676.7294])","tensor([553.3311, 676.7294])"
"tensor([512.9792, 676.7294])","tensor([553.1292, 671.7106])"
"tensor([512.3994, 681.7481])","tensor([552.5493, 681.7481])"
"tensor([512.5463, 681.7481])","tensor([552.6963, 681.7481])"
"tensor([512.5541, 681.7481])","tensor([552.7042, 681.7481])"
"tensor([510.7679, 671.7106])","tensor([555.9367, 671.7106])"
"tensor([509.2758, 666.6918])","tensor([559.4633, 661.6731])"
"tensor([510.4800, 656.6544])","tensor([555.6487, 656.6544])"
"tensor([511.0137, 656.6544])","tensor([551.1636, 656.6544])"
"tensor([511.1344, 656.6544])","tensor([551.2844, 656.6544])"
"tensor([510.9827, 656.6544])","tensor([551.1326, 656.6544])"
"tensor([508.5510, 671.7106])","tensor([553.7198, 671.7106])"
"tensor([510.6831, 681.7481])","tensor([550.8331, 681.7481])"
"tensor([511.8273, 681.7481])","tensor([546.9586, 681.7481])"
"tensor([511.6727, 681.7481])","tensor([546.8040, 681.7481])"
"tensor([510.7245, 681.7481])","tensor([550.8745, 676.7294])"
"tensor([510.5877, 681.7481])","tensor([550.7377, 676.7294])"
"tensor([509.2701, 671.7106])","tensor([554.4388, 666.6918])"
"tensor([504.4006, 661.6731])","tensor([554.5881, 656.6544])"
"tensor([510.5991, 651.6356])","tensor([550.7491, 651.6356])"
"tensor([510.6165, 651.6356])","tensor([550.7664, 651.6356])"
"tensor([510.5999, 656.6544])","tensor([550.7499, 656.6544])"
"tensor([510.4692, 656.6544])","tensor([550.6192, 656.6544])"
"tensor([508.1204, 676.7294])","tensor([553.2891, 676.7294])"
"tensor([512.3228, 681.7481])","tensor([547.4540, 681.7481])"
"tensor([509.4288, 686.7668])","tensor([549.5788, 681.7481])"
